How's the sound quality and everything	音质什么的怎么样
First of all, where in Canada are you from originally	首先 你之前是加拿大哪里人
I'm from British Columbia in the small town called Kelown	我来自英属哥伦比亚省的一个小镇 叫基洛纳
Oh you are from Kelowna? -Yeah it’s my hometown- I was in Vancouver for 8 years	啊你是基洛纳的吗 -是的 我的家乡 -我之前在温哥华待了8年
Really? Yeah that's where I still own an apartment, in Vancouve	是吗 我在温哥华还有间公寓
Kelowna is where they had all the… like Ocean and the boys, right? Like all the OG Canadian cs players, they're all from Kelowna, I remember	Ocean那帮人就是基洛纳的对吧 最早的那些加拿大CS选手 我记得他们都是基洛纳的
Yeah, most of them are from around that area, usually between like Vancouver and Kelowna. There's some small areas like Abbotsford and stuff	是的 他们大多数都在那边 在温哥华和基洛纳之间 还有一些小地方比如阿伯茨福德
Ocean and Semphis I remember, I actually played against them at LAN but this was like 10… 13 years ago, a long time ago. -haha, still count	我记得Ocean和Semphis 我线下赛还打过他们 不过这都得十…十三年前了 很久了- 哈哈 仍然算的
So Mr. Director, what kind of hair gel do you use? And how long do you spend on your hair every single day	总监先生 你都用什么发胶 你每天打理发型需要花多久
I usually, I’d say 10 or 15 minutes that's between like blow-drying and styling as well	一般来说 差不多10-15分钟吧 包括吹头和做发型
I mean hair gel... it's not really like a gel, it's like a paste	发胶的话 我这并不算发胶 算发泥吧
So it kind of just depends, depends on like what kind of texture your hair is	用什么产品取决于你头发的材质
So if your hair is like really coarse, or it's very soft, then that's what kind of material you have to use. You have to find what works for you. But I just use a paste on my hair	所以如果你头发特别粗糙 或者特别软 可能就得用(发胶) 你得找到一个适合你的产品 不过我就用发泥
Yeah, that's actually… 10, 15 minutes. That's actually way less than I expected. Because I thought like the hair that you pull out every single day would require so much longer	才10-15分钟吗 比我预期的要短很多 我以为你每天拉风的发型需要多得多的时间去打理
Sometimes I don't even style it. I just wake up and that's my hair like I came back from the gym like 10 minutes ago. This is just my hair like from how it is when I wake up	有的时候我根本不打理 醒了之后就直接是这个头了 比如现在这个 我10分钟前刚健身回来 我今天早上醒了就是这个头型
Speaking of gym, there's a lot of questions about your gym routine. Can you just sort of tell us a little bit about the role of working out in your life	说到健身 很多人在问你的健身日程 你可以讲一讲健身在你生活中的作用吗
Yeah, so at the end of 2018, I started exercising, but back then it was kind of just like cardio and small weight lifting	好的 2018年末的时候我开始健身 不过那时候只是做做有氧和比较轻的重量练习
And throughout 2019 and I progressed and I started focusing on it a lot more along my nutrition	然后整个2019年我就加强了训练 花很多精力在上面 包括我的饮食
And then at some point, it just became a thing that I needed in my life. I couldn't really function without it, like when I needed to release stress I needed to go work out	然后在某一个它就变成了我生活中的必需品 我就离不开健身了 需要释放压力的时候我就去健身
Over time it became the balance of my routine. There was something to divide my outside life stuff along with my job	久而久之就成了我每日计划中的那个平衡 把我的工作和生活其他事情隔开
Do you think working out affects your game performance in a positive way	你觉得健身会积极地影响你在比赛中的发挥吗
Yeah of course. I think it leads to a lot of confidence. And when you're a new gym goer and you really get into it, it starts to build that discipline for you	当然了 我觉得健身给我带来很多自信 当你开始好好健身的时候 你就会开始建立自律性
Where like if you're in the gym and you're not afraid of failing, you're not afraid of trying to lift heavier weights, and it's okay to fail, because it starts to build that limit	比如你在健身房里 不怕失败 不怕去挑战更大的重量 失败没有关系 这会帮你找到你的极限
I feel like you can apply that limit to everything else in life, as long as you have the same mentality	你可以把这种极限应用到生活中的其他事情 只要你抱有相同的心态就可以
This question comes from a diehard fan of yours, the necklace that you wear all the time, what is the story behind it	这个问题来自于你的一个铁粉 你总是会戴的那条项链 背后的故事是什么
This one, or the blue one? -I guess, the one you wear when you play matches. Is that the one	这条吗 还是蓝色那条 -应该吧 你打比赛戴的那条 是那条吗
The necklace I’m wearing right now is a partnership necklace with my girlfriend. So we both have matching necklaces	我现在戴的这条项链是和我女朋友的情侣项链 我们有匹配的一对
What I wore when I was on Liquid, the gold one, it was kind of like my first, a first expensive thing that I’ve ever purchased before	我在Liquid戴的金的那条 算是我买过的第一个比较贵的东西
So I started to always wear it with me and I feel like it brought some kind of aura to my life, like when I started investing into myself and trying to focus on like my appearance and be healthier,	我开始戴了之后 我就觉得它给我的生活带来了一种光环 当我开始对自己投资 开始专注于自己的形象 更健康地生活
I feel like that's when things started to change in my life, so I started to look at the necklace as sign of luck or a sign of progression	我觉得就是那个时候我的生活开始变好了 所以我把那条项链当做吉祥物或者进步的一种标志
So Mr. Director, how are you so cool in every aspect? Your personality, your playstyle, your grip and everything, just the way that you carry yourself… 	总监先生 你为何全方位地都能这么酷 你的性格 你的打法 鼠标握法等等 你的行为举止
When did all this whole persona form for you	这整个人格是什么时候形成的呢
Probably formed around the later stage of 2018. That’s when I started working out and stuff	差不多在在2018年后期形成的吧 那时候我开始健身了
And before that, I decided to try to like change myself because I felt like I was boring, like I had like a boring personality	在那之前 我下决心改变自己 我之前觉得我有点无趣 我的性格有些无趣
I wanted to be like… I feel like there was more to me than what I was showing	我就想成为 我觉得当时我展现出来的并不是完整的自己
And then I kind of just let it go and I didn't really care about what the public had to say -you just let loose- and I just want to be mysel	然后我就放开了 不管别人怎么说 -你就放飞自我了 -我就只想做自己
Yeah, I just wanted to be myself and that's where I feel it started rolling. And I didn't really care about the public eye	是的 我就想做我自己 然后我就觉得一切都开始改变了 不去管别人怎么看我
I think other things like my mouth grip and stuff were just unintentional. Honestly, my grip wasn't always like that. It just transitioned into that	我觉得其他事情 比如我的鼠标握法 是无意的 我的握法并不一直是那样的 是慢慢过渡到那样的
I feel like staying cool under pressure is just about having a strong mentality. And I feel like I built that up over the past years	我觉得在压力下保持冷静要得益于有强大的心态 我觉得在过去这些年我逐步炼就了这个
So the hairstyle, the tattoo and all the cool stuff, the personalized stuff, do you think these things give you confidence when you're playing in matches	你的发型 纹身 这些酷的个性的东西  你觉得会在比赛时给你信心吗
Not really, I just look at it like it's who I am, the tattoos and stuff. There is a reason to get all the tattoos and I’m happy with the things I’ve chosen to put on myself	并不算吧 我觉得这些都是我的一部分 纹身什么的 去做这些纹身是有原因的 我很满意我刻在身上的这些东西
But yeah, of course it leads to the confidence, but it's kind of just, not everyone can get a tattoo. It could be very painful for some people	不过也是 确实会带来自信 并不是每一个人都能做纹身 它对于一些人来说会很痛苦
So I feel like that was kind of trying to break a barrier down. When I first started getting tattoos, it's like I have to prove to myself that I’m strong. And that was part of the process	所以对我来说纹身打破了一种屏障 我刚开始做纹身的时候 那感觉就像是我要向我自己证明我够坚强 这也是成长的一部分
So Mr. Director, how did you come by CSGO? What were the events that led you to start playing CSGO	总监先生 你是如何接触到CSGO的 是因为什么才开始打CSGO的
but then for 3 or 4 months, we only focused on League of Legends. And we were playing as a group, and it was pretty fun	后来有三四个月之间 我们就只玩英雄联盟 一起组队玩 还挺开心的
But then some of us kind of got bored of the game per se. So I went with two other friends and we started playing CS and then that's where it started	不过后来有些人有点厌倦英雄联盟了 然后我就和两个朋友开始玩CS 就是那时候开始的
In 2014, I started playing CS a lot, and my other friends kind of gave up on it slowly	2014年我开始经常玩CS 我其他的朋友慢慢都放弃了
But for me, it was like the best game ever. I just loved everything about cs, like the economy aspect, the learning curve, you have to learn the spray patterns and everythin	但对于我来说 CS就是史上最好的游戏 我爱CS的一切 经济系统 学习曲线 你需要去学习弹道轨迹之类的
You have to learn positioning like how to peek and I just enjoy every second of playing the game	你要学习选位 如何露/拉 玩这游戏的每一秒钟我都很享受
There was no other game that gave me this intense feeling of like when you're in a clutch situation, and all the pressure’s on you, no other game gave me tha	没有别的游戏能给我这种紧张激烈的感觉 当你打残局 所有压力都在你身上的时候 没有别的游戏给过我这种感觉
like when I was playing League, I never had that feeling like I have to clutch up for my team right now. I felt like there was never that situation	我玩英雄联盟的时候 从没有过有一种我得为我的队伍赢下残局的感觉 因为不会遇到这样的情形
But in CS it was a special feeling. There's a lot of things about the game that brought me in. And I have a big passion for the game I feel	但在CS这是一种很特别的感觉 CS的很多东西都把我吸引了进去 我对这个游戏有很大的热情
Were you like insane right away at CS or	你上来就很厉害吗
I think I was a lot better than the average person that would touch the game for the first time	我觉得我比刚接触这游戏的人一般都要厉害很多
But when did you realize that ok I’m pretty sick at this? Like I can make a living out of thi	但你是什么时候发现 啊我真挺强的 我可以靠这个吃饭
Probably shortly after Ocean brought me on to his team, it was the first pro league season	估计是Ocean刚带我去他队里的时候 第一个Pro League赛季
because at the time they were still like besides C9, it was like the biggest org in NA, that's when I felt like okay this is the part where my career needs to take off right now	因为当时除了C9他们就是北美最大的俱乐部了 那时我就觉得 好的 我的职业生涯现在需要起飞了
And you just never looked back -no- never looked back	然后你就再没回过头 -再没回过头
What is the most meaningful skin to you? And what is the story behind it	对你最有意义的皮肤是哪个 背后的故事是什么
That’s tough to say. It's probably the Red Kimono gloves to be honest. I just like the color of them	很难讲 估计是深红和服的手套吧 我喜欢它们的颜色
In 2017, or 2018, only top tier players were using the gloves. I felt like I was in that upper echelon of high skilled players, I just like the colors. I don't know	17 18年那会 只有最强的那些选手们会用手套 我觉得我属于最高级别的选手的范畴里 很喜欢那个颜色
It's red and black and white, and it has the Canadian flag colors. I'm proud to be a Canadian. So it fits to me	红 黑 白 有加拿大国旗的颜色 我是一名自豪的加拿大人 所以很适合我
Bit of foreshadowing too, because it’s Faze’s color, right? -Yeah now it’s Faze’s color	而且是个伏笔 因为它是Faze的颜色对吗 -是的 现在是Faze的颜色了
So how did you get them? Did you open a case or you just bought them? Is there a story behind it	你是怎么得到它们的 开箱子还是直接买的 背后有故事吗
Back in 2017. I just bought them. It was probably one of my first expensive CS skin purchases	17年的时候我就买了 应该是我买的第一个贵的CS皮肤
Once you buy them you're just like okay I just bought these like I gotta get really serious now	你买了它们之后就觉得好的 我买了这手套 我就得非常认真打游戏了
Yeah, before I was buying like 300-400 dollar knives. Whenever like if I wanted to go change knives, I’d just sell them and buy another one	是的 之前我就买些三四百美元的刀 我想换刀的时候就卖了然后再买一个
But the gloves were like 800-900 dollars and I like it's a bigger purchase for me	但手套是八九百美元 所以是一个更重要的购买
So a ton of people are asking about your aim routine. Can you go through your aim routine for us every single day	很多人在问你的练枪计划 你可以介绍一下你每天的练枪计划吗
Yeah, so before practice and stuff, obviously I’m on player break now, my routine is different, but during the season, when I get on CS instantly go into aim_botz and I play for 10 to 15 minutes there	好 在训练之前 当然了现在我在休假 我的练枪计划会有所不同 不过在赛季中的时候 我打开CS就会去aim_botz 然后打10到15分钟
And then when the aim feels good enough for me, also when I’m in aim_botz, I don’t line up all the opponents in one sector. I leave the map as it is like when you first load in	然后我觉得准度差不多了的时候 还有我打aim_botz的时候 我不把对手全放在一个区域里 你进图里什么样就是什么样
So you're spinning and you're rotating -yeah, rotating a lot like focusing on flicking left and right or just keeping it general,	所以你会一直转 -是的 会转很多 专注左右的甩枪
because I feel like when you narrow down the aiming fields, it's unrealistic. It's not like how the actual game would be when you're playing	我认为当你缩小瞄准范围的时候 就变得不实际了 真正比赛的时候不是这样的
So I kind of just leave it as it is when I first join the server. After 10 to 15 minutes, I join a DM session and I play there for probably 20 to 30 minutes. Sometimes I just like lose track of how long i'm playing when I don't have practice	所以进来的时候图什么样我就让它什么样 10到15分钟之后 我就开始打死斗 然后打差不多二三十分钟 有时没有训练的时候 我打死斗都会忘记时间
So I just keep playing until I feel like it's enough, but I usually play dm up until I practice	所以我就一直打到我觉得够了的时候 平时我一般打死斗打到开始训练
Lately, something that’s part of my routine that's not aim related is surfing. -oh my god you surf? Dude, I just got into serving man -I surf a lo	最近我的练习计划跟枪法无关的是滑翔 -我的天哪 你滑翔吗 兄弟 我最近很沉迷滑翔 -我滑得很多
I can surf most tier2 maps, but that's about it	我可以滑完大部分2级图 不过也就这样了
Yeah. Usually I just use surf haven, like very easy server, and I just focus on cutting my times down	是的一般我会在surf haven 非常简单的服里 然后就试着改善我的通关时间
I was literally serving for like half an hour before the interview -really?- And my fans were like hey you should ask Twistzz about if he likes to surf or not	采访之前我真滑了差不多半小时 -真的吗 -我的粉丝们还说你应该问问总监喜不喜欢滑翔
Cause I know that f0rest surfs, but I didn’t know that you would be so into surfin	因为我知道f0rest经常滑翔 但我不知道你会这么喜欢
Yeah, I think a couple of players are into surfing. For me, it's like more fun. I wanted to find something within cs that I could use to pass time, cause I don't really like going to other games to pass time	是的 有些选手就很喜欢滑翔 对于我来说 很有意思 我想在CS里找一个可以打发时间的模式 因为我不是很喜欢用其他游戏打发时间
And it started… our first bootcamp as a team in Serbia, karrigan was surfing a lot, and then it kind of made everyone competitive, like everyone wanted to get on the server and beat his time	我们队的首次训练营 在塞尔维亚的时候 karrigan会经常滑翔 然后每个人都竞争起来了 大家都想进服打破他的记录
So ever since then I kind of just got stuck to surfing	从那以后我就喜欢上滑翔了
Back to DM real quick. What do you think is the most correct way to play dm	再回到死斗的话题上 你觉得打死斗最正确的方法是什么
Sometimes when some people play dm they're like I just get shot in the back like there’s no point. What do you say to that	有些人打死斗的时候就觉得 我总是屁股被打 死斗没有意义 对此你有什么看法
Honestly, that's kind of just the game, especially when you join a dm server that has 24+ people, it becomes very hard to avoid getting shot in the bac	说实在的 这就是游戏的一部分 尤其是你进那种超过24个人的死斗服 想不被打屁股就变得非常难
So usually for me I just hope I get lucky when I spawn and that I can get out of the spawn trap	对于我来说 我就希望出生的时候能运气好点 能逃出出生的陷阱
Then usually I just try roaming on the map, but obviously it's different for each skill level	然后我一般就四处乱跑 当然了 对于不同级别的玩家是不一样的
For me, it would be easier to run around the map and win the aim duels that I’m taking and like whatever part, mirage or dust2	对于我来说 四处乱跑赢下对枪会更容易些 不管是在mirage还是dust2
I'd say for people, it’s easier to let your nerves go a bit and just like volume zero and put music on. -It's so relaxing when you put volume on zero. Dm becomes so relaxin	对大部分玩家来说 我觉得放轻松 把音量调到0会更好 -音量调到0死斗就变得很轻松
Yeah it becomes like a workout session. You just put your music on and everything else doesn't matter now	是的 就变成像健身训练一样 把音乐打开 什么都不重要了
So I feel like that's what most people should focus on doing, because I get tilt when I die to people walking around in a dm server. -listening to footstep	我觉得大部分人可以这样 因为我被在死斗里静步的人打死就会很破防 -那些听脚步声的人
Yeah, I just get pre-fired running around the corner. I was like that's great man congratulations	是的 我跑着跑着转角就被提前枪打死了 我就 真有你的 恭喜你
Yeah. I think the best way to train is volume zero and focus on your aim. -and don't ever press tab. Just play -pretty muc	是的 我觉得最好的训练方式就是音量0 然后专注于你的瞄准 -都不要按TAB 打就完了 -基本上是
There's no point of pressing tab unless you feel like you have a goal, you're like trying to reach a certain amount of kills in a certain amount of time. Then I understand like pressing tab	按TAB没有意义 除非你有一个人头或者时间的目标 那样我就觉得可以按TA	So what are your thoughts on the recent roster shuffles, monesy to G2, dupreeh magisk to Vitality. What are your thoughts on that	你对最近的阵容调整怎么看 monesy去G2 dupreeh和magisk去Vitality 
Yeah, it seems like changes are getting more and more confirmed every week	是的 感觉每周都会有更多变阵消息得到证实
I think both the changes are… I’d say the Vitality one is a bit more interesting. You have two players that have never played on an international team before	我觉得这两个变阵 Vitality的变阵更有意思些 两名选手都从来没在国际纵队打过
I mean all of the players actually have never played on an international team before. Apex has always led in French. Zywoo’s never had teammates who spoke English	其实所有选手都没在国际纵队打过 Apex之前一直都用法语指挥 Zywoo从没有过说英语的队友
And then on the other side, you have dupreeh and magisk who have also never played on an international team before, have not communicated in English as often as the international teams	而在另一边dupreeh和magisk都从没在国际纵队打过 没有其他国际纵队那么丰富的用英语交流的经验
So I think it's gonna be like a learning curve for them. And I don't think they're gonna be instantly good. I think it's gonna take them probably 5 or 6 months to really hash things out before they see any results, like top fours or whatever	所以我觉得他们会有一条学习曲线 我不认为他们能立刻很厉害 我觉得他们会花五六个时间去磨合 然后才能看到类似前4的成绩
For monesy to G2, I think it's kind of like a s1mple story, I guess, although he shouldn't really want to live in the shadow of s1mple	对于去G2的monesy 我觉得有点像s1mple的故事 不过他不应该活在s1mple的阴影下
I think he has the potential to become greater than that, but I think it's a pretty big leap. It's like a newer player, and you get the play along the side of NIKO and HUNTER and whoever else they pick up, 	我觉得他有潜力成为更好的选手 但确实是个比较大的飞跃 一名新的选手 要去和NIKO HUNTER并肩作战 以及他们签下的其他选手
They have high tier players on the team. So I think at first, it's gonna be a lot of pressure, but I think he’ll fit into a system. Nowadays, awpers are very dominant	他们队里有很高级别的选手 所以我觉得一开始会有很多压力 不过我觉得他应该能融入系统里狙击手在目前有绝对的统治力
So as long as like whatever leader they end up picking up, or if they keep NEXA, I think he'll have success on the team, 	所以不管他们签下哪个指挥 或者留下NEXA 我觉得monesy会在队里收获成功
but at the same time, I think it will take some time because he was playing in a full CIS team, an academy team	不过与此同时 他会需要一些时间 因为之前他在一个CIS的青训队里
I think international teams are a lot harder for players that originally just communicated in their native language	我觉得国际纵队对于那些之前一直用母语交流的选手来说要难很多
And what are your thoughts on kennyS trying to get back into competitive cs	你对kennyS试着回归竞技CS怎么看
I think it's great. I think the only reason he wasn't in competitive CS before was when shortly after NIKO joined G2, he re-signed his contract and then he instantly got benched with a full contract length	我觉得非常好 我觉得他之前没有在竞技CS的唯一原因是 NIKO来G2之后他很快就续约了 然后马上就坐板凳了 一整个合同的时间
So that's kind of like… not a career killer, but it puts a big pause on your contract, especially if other orgs don’t wanna buy you out	所以这就像是 也不是职业生涯的终结 但是会暂停你的生涯 尤其是其他俱乐部不想买断你合同的时候
Mhm. So I think that was a very unfortunate situation and I think that was bad by G2 to do that to him	所以我觉得是一个很不幸的情形 G2对他的做法是不好的
But I hope another team picks them up in the future. I'm not sure when his contract expires, but whenever it does, I feel like teams should trial him and test them out, because I think there's still something there	不过我希望在未来其他的队可以签下他 我不确定他的合同什么时候到期 不过到期的时候我认为其他的队应该让他试试 我觉得他还能发挥作用
There's still something in him. He's only still like 25, he's not like 30, he's still like 25 years old	他宝刀未老是吧 他现在其实也就差不多25岁 又不是30了
Yeah, exactly. He has a lot of experience as an awper. And I feel like he could be useful to a lot of teams, even a team like MOU	对的 他作为狙击手的经验非常丰富 我觉得他会适合很多队伍 哪怕MOUZ也可以
An overwhelming number of comments are saying… I can't ignore this anymore. So ropz to Faze. Is there any ground to it? Is there anything that you can tell us right now	非常非常多的弹幕在说 我没有办法不管了 ropz去Faze有什么根据吗 现在你有什么可以透露给我们的吗
There's no confirmations. I think a number of orgs are trying to get him at the moment. But honestly there's nothing to confirm to be honest at the moment, just keep an eye out on the reports coming out	现在没有确切的消息 我知道有几个俱乐部目前都想得到他 不过说真的目前没有什么确切的消息 等着看报道就好了
Do you feel like ropz would be a good fit at Faze, hypothetically	你觉得ropz会适合Faze吗 假设来说
Hypothetically, from the comments I see I don't think people really understand roles. So in the instance if we were to swap out the player that people think will be swapped out for him, then the roles fit	假设来说的话 从我看到的评论里 人们并不理解角色这个东西 如果我们用他换掉人们觉得会被换掉的那个人 那么角色是适合的
And if you look at him going to like other orgs, I don't think the roles really check out, especially in the team like Vitality or G2. I don't think the roles fit. So hypothetically, yeah. I think it checks out for us	但如果他去其他队了 尤其是Vitality或者G2 我不认为角色是合适的 所以假设来说 是的 ropz适合我们
When you stop playing for a while, how do you get back in form	当你有一段时间不打游戏的时候 你如何找回状态
Even for me, when I take a 5 day break and I come back, the game doesn't feel as it did before. For me, when I stop playing over a break and I come back, I usually just focus on aim_botz	即便是我来说 当我5天不打再回来时 这游戏的感觉就不一样了 所以我休息一段时间再回归的时候 我一边就专注打aim_bot
Now it would be aim_botz and surfing for like 2 or 3 days	现在就是玩两三天aim_botz和滑翔
And then after that I’ll do my usual routine like aim_botz and dm and then I’ll play retake servers or whatever. That's how I’ll coast back into it	然后我就会去做我日常的计划 aim_botz和死斗 回防服之类的 我就会这样慢慢回归
You’ve been playing lot of Horizon	最近是不是老玩地平线
Yeah I got the Fanatec set up on my desk. I was playing Horizon yesterday and the game crashed a couple of times	是的 我这桌上都装好Fanatec设备了 昨天我玩地平线但是游戏崩了好几次
What's your favorite car, in horizon and in life	你最喜欢的车是什么 在地平线里还有现实里
I'm a big fan of the Silvias by NISSAN, s14 or s13 or the s15. I think they're all timeless cars. There's a reason that they're big staples in the JDM industry	我很喜欢尼桑的Silvia s13 s14 s15这些 我觉得他们都是永恒的经典 JDM圈里非常经典的车型
Probably s15 would be my dream car. I don’t really like supercars. I feel like when you get a supercar, it's mainly for the message that you're trying to send and it's not about having fun	S15估计就是我梦想的车吧 我不是很喜欢超跑 我觉得你买超跑主要是为了传达一种信息 而不是为了开心
It’s not about really being in the cars. I feel like when you have muscle cars or when you have JDM cars, there's so much you can do with them	并不是为了置身于车中 我觉得在肌肉车或者JDM车上有很多可以做的事
And if you really enjoy working on cars and getting dirty, then I feel like they're just the best	如果你喜欢折腾车 干脏活累活 那这些车就是最好的
There’s so much you can do to the cars, either LS engine swaps or you're just like going through the parts and everything. Yeah. Think there's a lot there	有非常多可以做的事情 比如换LS发动机 其他零部件之类的 有很多事情
Just how good is FPL in Europe? And how does it differ from, North American FPL	欧洲的FPL到底有多强 和北美FPL有什么区别
I’d say the beginning of last year, well it's not 2022 yet, but at the beginning of 2021, I played FPL a decent amount before joining Faze	去年开始的时候 不对 还没2022年呢 2021年年初的时候 我加入Faze之前打了不少的FP
And I think it was good back then for me to keep active, while not on a team yet. So I didn't mind playing, and there was a decent amount of good players playing	我觉得那时候对于我是很好的事 在加入一个队前保持状态 所以我挺喜欢玩的 那时候有不少高手在玩
It wasn't just always like Russian players or the typical FPL players that you see. It would be Astralis players playing or Faze players playing	那时候不都是俄罗斯玩家或者现在那些典型的FPL选手们 那时还有Astralis的Faze的队员们会打
But now I feel like it's kind of fallen off a bit where it could be considered Russian pro league. To be honest, I feel like there's so many CIS players that play, way more than European players	但现在可能有点下降 现在就像俄罗斯pro league一样我觉得 有好多CIS选手在打 比欧洲选手要多多了
And besides skill level, because when you play in Europe, obviously the players are gonna shoot harder	然后就是水平 欧洲的选手肯定枪法要硬很多
It’s gonna be way harder opponents to play against compared to NA and I think that's the only difference right now is mechanical skill	你的对手比北美要强很多 我觉得目前唯一的区别就是操作水平
But how do these new European players get picked up or get noticed? If FPL is just full of Russians	那这些新的欧洲选手如何被注意到然后被发掘呢 如果FPL全是俄罗斯选手的话
Usually it’s through FPL still, because usually you will have that star that comes out. And they're kind of like the hidden gem in the circuits	现在一般还是通过FPL 还是会有明星选手脱颖而出 他们就像隐藏的珍宝
But I feel like the recent players that got picked up weren’t even from FPL there's something going on like behind the scenes, for instance, like when Vitality replaced Rpk, the person wasn’t in FPL at al	不过最近一些被发掘的选手都不是FPL出来的 我觉得幕后有一些动作 比如当Vitality替换Rpk时 那个人都不是在FPL里的
They just picked him up out of the dry from either like local LANs or whatever	他们就凭空签下了他 从当地线下赛之类的
I feel like that's a good approach to take, taking a new player like that. But before I think the last good EU player that was taken from FPL and put on a team was probably broky, broky to Faze	我觉得这也是一个好办法 就这么签下一个新选手 在那之前我觉得上一个FPL发掘出来的好选手就是broky了 Faze签下的broky
but yeah it doesn't happen often. And right now I feel like the CIS talent pool is a lot bigger than the other regions	是的 不是很经常能发生 现在CIS选手池比其他地区要大很多
I think Faze probably has one of the best atmospheres, or the best of vibes out of all the pro teams. Do you think that positive vibe carries on to matches	Faze可能有着职业队里最好的气氛和氛围 你觉得这种积极的氛围会延续到比赛中吗
Yeah of course, I think our positivity and the way we act as a team has a big impact on our mentality and how we are able to stay into it	当然了 我觉得我们的积极性 还有我们整队的作风对我们的心态有很多帮助 以及我们的韧性
And we obviously pull off a lot of comebacks. It's because there's not really negativity I’d say. We’re all focused into the game. We're all invested. We want to see each other succeed. And we play for each other	很显然我们能打出很多逆风翻盘 因为没有消极情绪 我们都很专注比赛 投入了很多 我们希望看到彼此成功 为彼此而战
And I think that's what helps us keep going forward, even though we don't really see that many good results. But we know, event after event, we're still putting in the work in between and we're trying hard	我觉得这会帮助我们向前进 虽然我们的成绩不是那么好 但我们知道 一个个赛事之后 我们还是很努力
And I think that's something that just comes from a good atmosphere	我觉得好的氛围就能让选手这样
So you used to play for a very talented IGL nitr0, who you have a great relationship with	你曾与一名很有天赋的指挥nitr0共事 你和他的关系非常好
Now, you're playing for another legendary IGL karrigan. What do you think is the difference between their style and similarities	现在你与另外一名传奇指挥karrigan合作 你觉得两人风格的不同和共同点是什么
I'd say they're honestly very similar from what I had, given that karrigan is a lot more prepped. I feel like he's always focused on changing the strats that we use before going into the game, rather than during the game	老实说两人很相像 karrigan的准备会更充分 我感觉我们比赛前他会很专注于修改我们的战术
Whereas nitr0 will be really focused on mid round calling or adapting mid game	而nitr0会比较专注于中局的指挥和应变
So I think those are the two differences, but at the same time, the similarities they share is like they're really good at adapting	我觉得不同点就在这里 不过同时他们都非常擅长应变
Both of these IGLs like honestly, we probably don't even need a strap book, if we just default into the game and then adapted	这两个指挥 我们可能都不需要一个战术本 我们就打默认然后应变就好了
I have full faith in both in-game leaders to figure out what's happening to us and what the perfect counter would be	我完全相信两个指挥能读懂对面的做法 并作出完美的应对
I guess obviously the difference is one was an awp IGL and one is an entry IGL. Right now, I don't really know which one I would prefer, because both of them are very, very needed like in the current meta,	当然了 还有一个不同就是一个是打狙的指挥一个是打突破的指挥 目前我并没法说更喜欢哪个 在目前的常规打法当中两个人都非常关键
because I don't think teams can afford to have a passive IGL anymore. I just don't think it works like your IGL needs to be awping or it needs to be entrying	我觉得职业队已经不能有打法保守的指挥了 这样不行 你的指挥要么就打狙要么就打突破
